,0,1,2
0,1.8362915515899658,0.04,0.02
1,3.98429799079895,1460.36,0.89
2,6.0777997970581055,1542.84,2.22
3,8.162147760391235,1547.48,3.12
4,10.30043339729309,1549.18,3.72
5,12.438025951385498,1545.56,4.55
6,15.528624057769775,1211.96,4.82
7,17.60874581336975,1204.24,4.84
8,19.682809114456177,1205.52,4.67
9,21.75548553466797,1199.26,4.65
10,23.826809406280518,1199.43,4.62
11,25.888145685195923,1205.09,4.62
12,27.95221781730652,1214.40,4.68
13,30.026007175445557,1214.27,4.84
14,32.09626007080078,1209.69,5.24
15,34.159303188323975,1198.41,5.61
16,36.228546142578125,1208.21,5.91
17,38.29068040847778,1108.54,6.18
18,40.36979556083679,1212.67,6.46
19,42.48360300064087,1408.06,7.24
20,44.59251832962036,1531.91,7.87
21,46.689162254333496,1566.99,8.33
22,49.78209590911865,1556.31,10.07
23,51.94184446334839,1557.18,10.81
24,54.04099178314209,1558.22,11.92
25,57.12586688995361,1501.28,10.79
26,59.22921299934387,1463.33,10.86
27,61.32041668891907,1021.37,6.55
28,63.39253520965576,0.00,0.00
